timestamp,x-axis (m/s^2),y-axis (m/s^2),z-axis (m/s^2),R00,R01,R02,R10,R11,R12,R20,R21,R22
20:42:56:903,-0.03924,0.07848,0.07847999999999998,0.9999998914030472,-0.0002707597355767,0.0003793192046117002,0.00026994423488359997,0.9999976559438596,0.0021483102420493,-0.0003798999913792999,-0.0021482076137169,0.9999976204371912
20:42:56:936,0.03997156471810344,0.05774749487050474,0.02006922890851965,0.999999012371877,-1.6112282186219274e-05,0.001412086030182996,1.398548916583196e-05,0.9999987931614758,0.0015438164552643103,-0.0014121219930435505,-0.0015437846894456012,0.9999978010169704
20:42:56:969,0.32619986631809067,0.00787669049209257,0.4225362521296004,0.9999991188017399,9.072938815896855e-07,0.0014874778994573724,-3.14662765005396e-06,0.9999989172907399,0.0014860254741335416,-0.001487466240698839,-0.0014859026317466468,0.9999979975973871
20:42:57:002,1.02024,0.2943,1.3635899999999999,0.9999464075440703,0.0022465649790622,0.0088300085025791,-0.0022539849286831,0.9999958801571491,0.0009911115542833,-0.0088281917766997,-0.0010177458989777,0.9999494235186467
20:42:57:036,0.09649715711786759,0.04627172320444778,0.7421731423706959,0.9999248381934315,0.0031659744016971467,0.011839031597548046,-0.003175487618770687,0.9999946376481001,0.0007795682456315322,-0.011836478886667058,-0.0008171467288811936,0.999929545282675
20:42:57:069,-0.6153775635771166,-0.0684073802938214,-0.5417493123181614,0.99996379402853,0.0015970587764611941,0.00728303275899113,-0.0015972551648657338,0.9999969139749519,-0.0006228232874853655,-0.007282400448989416,0.000605999084301545,0.9999650529552124
20:42:57:102,-0.48069000000000006,-0.06867000000000001,-0.5395500000000001,0.9999919077068854,0.0004649672973188,0.0039960388081673,-0.0004584361391438,0.9999985580288068,-0.0016351686804889,-0.003996793345956499,0.0016333235196216,0.9999906789051736
20:42:57:136,0.012100305916174826,-0.029540733798568083,0.11370919532912967,0.9999941495840745,0.0002909058334795582,0.0032777295444948256,-0.00028508211030850363,0.9999981829762663,-0.001852883719534745,-0.003278202514185226,0.001851737500499449,0.9999924654266907
20:42:57:169,-0.21003686278608813,-0.11635992861255193,0.4977659057737871,0.9999976046578258,2.5180413653905467e-05,0.002184103118474019,-2.0409746490312768e-05,0.9999976248323709,-0.002183768152096439,-0.002184154908755761,0.002183713552425245,0.9999952312427907
20:42:57:202,-0.7161299999999999,-0.23544,0.4610699999999999,0.9999978757432931,-0.0003555450111055,0.0014836025671888,0.0003574747880107,0.99998486532056,-0.00418080322588,-0.0014797972974582999,0.004180523994351199,0.9999833064426891
20:42:57:236,-0.3475963484524024,-0.24527404720362525,-0.35891093701734866,0.9999986371854644,-0.0015281174111829254,-0.0006644772332235594,0.0015212623104930631,0.9999453606121832,-0.010358154474073344,0.000680215630082906,0.010357149822375743,0.9999463112919138
20:42:57:269,0.06652081794834752,-0.1885138390123991,-0.5381465640534191,0.9999985726929816,-0.0015655782576829756,-0.0006164998199720966,0.001559217704456363,0.9999481551381266,-0.010006231658620262,0.0006319605074468752,0.010005280785302847,0.999949186400025
20:42:57:302,0.13734000000000002,0.07848000000000002,-0.79461,0.9999978851662394,-0.0020495383935785995,-0.0001704565095238,0.0020484332984592,0.9999783792236503,-0.006248600344344701,0.00018325957043359997,0.0062482379608037,0.9999804627783059
20:42:57:336,0.13587466388896932,0.07933226886243486,-0.7939264646700587,0.9999978877182437,-0.002047651926551168,-0.00017024079047372678,0.0020465446350374354,0.9999784329285843,-0.006228797201614996,0.00018299421016379478,0.006228435315619714,0.9999805130095216
20:42:57:369,-0.029967206102619114,0.30210068631686615,-0.736484649423648,0.9999980475053863,-0.0019734160858236164,-6.947795217530105e-05,0.0019731995813397274,0.9999945566195426,-0.0021397267934148588,7.374469393439445e-05,0.0021395838748694954,0.9999965020142724
20:42:57:402,0.26487000000000005,0.34335,-0.63765,0.9999980677773844,-0.001965037309982,-5.540639122141935e-05,0.0019649485817241,0.9999968551792732,-0.0015583993823877998,5.846852990849692e-05,0.0015582875005035,0.9999987841600093
20:42:57:436,0.37131787708165237,0.2152424761859632,-0.5487491732823162,0.9999994269317644,-0.0007925020878199474,0.00018484395478159685,0.0007925643105427258,0.999999082574364,-0.00071440588912441,-0.00018394506628637851,0.000714455827700702,0.9999996026528304
20:42:57:469,0.08132246741116242,0.21632420444684997,-0.5294763334958661,0.9999998866949059,-0.00039721744966441687,0.0002677101922118851,0.00039732913566038237,0.999999831991031,-0.0004329563330624515,-0.000267540861452041,0.0004330607955528756,0.9999998761625614
20:42:57:502,-0.05886,0.05886000000000001,-0.4905,0.9999997985177327,-3.253243966952625e-05,-0.0002662800185861,3.302989092587636e-05,0.9999995302606032,0.000455971943172,0.00026652130415790007,-0.0004558266801453,0.9999994347958326
20:42:57:536,-0.03985084172096864,-0.08844114831320174,-0.1441511861526833,0.9999997278463261,0.0002581761629324022,-0.000692813068031361,-0.00025737057396812285,0.999999288522475,0.0011670196851684253,0.0006931116421675166,-0.001166842113171866,0.9999990820622535
20:42:57:569,-0.1851079892194349,-0.01995113642547068,-0.019556161345102515,0.9999998014386181,0.0001300995959728336,-0.0005772045031967534,-0.00012936508359879406,0.9999990798966898,0.0013255050113863817,0.0005773427372289808,-0.0013254066989807072,0.9999989242736751
20:42:57:602,-0.18639,-0.04905,-0.04905,0.9999999204012694,-7.617378749034689e-05,-0.0003916567489013,7.679448112596925e-05,0.999998740907717,0.0015850191129055,0.00039153551886030003,-0.0015850490638168002,0.9999986671588132
20:42:57:636,0.0013768152916454803,0.04075408481794889,-0.03008249682469788,0.9999999321782053,-9.780298775761078e-05,-0.00025680413093037523,9.822082912104234e-05,0.9999988306031561,0.001521245835118534,0.0002566594809323257,-0.0015212614217710448,0.999998774094955
20:42:57:669,0.039342143741361205,0.15684771935236522,-0.20389641856575347,0.9999999701804361,-0.0001675471289534777,0.00017195793073328673,0.00016732080103554228,0.9999991134795458,0.0013204323279269318,-0.00017217844905638904,-0.0013204030381620494,0.999999112071757
20:42:57:702,0.02943,0.08829,-0.2943,0.9999999700641468,-0.0001503020855624,0.00016457540022420003,0.00015008736589820003,0.999999060488486,0.0013507659645613,-0.0001647645911195,-0.0013507368716037,0.9999990608519336
20:42:57:736,0.019636586081047094,0.08835466591061088,-0.04705152188692334,0.9999999607187909,0.0002741061938608392,-7.34600027087072e-05,-0.00027395211124376506,0.9999977563987157,0.002101709917823744,7.403394137064094e-05,-0.0021016904114779978,0.9999977908638559
20:42:57:769,0.019850397199297588,0.08799812170702005,-0.04726986719086626,0.9999999616939635,0.00027122662132034506,-7.0932533073988e-05,-0.0002710768803346256,0.9999977610160828,0.0020992474474947043,7.150134564165499e-05,-0.0020992286918345812,0.9999977952132676
20:42:57:802,1.4822813964592714e-18,0.14715,-0.21582,0.9999998056723607,0.0004302571564809,-0.00043560594098670006,-0.00042944551684199995,0.999998141780803,0.0018776592910017,0.000436409968992,-0.001877466827756,0.9999981344224264
20:42:57:836,0.10955591085785674,0.1767948616163659,-0.09807378169131967,0.9999997874731211,0.00044889642472791257,-0.00046565350847262865,-0.0004480302640959048,0.9999981655412667,0.0018603261428368912,0.00046648981773166667,-0.0018601186863574355,0.9999981601103712
20:42:57:869,0.21625060305249932,0.1961283824763995,-0.28236032938937955,0.9999989481031425,0.0013196698061965725,-0.00024011140539299938,-0.0013191825792820066,0.9999967556626761,0.002106650897789918,0.0002429714623902255,-0.0021064057134987336,0.9999977299236503
20:42:57:902,0.04905,0.17658,-0.36296999999999996,0.9999986342343707,0.0016453195689751998,-0.00015637425997569996,-0.001644972057087,0.9999962335203948,0.002197046188763,0.0001599885140836,-0.0021967859568247,0.9999975742646257
20:42:57:936,-0.10005953178578446,0.056678871109422733,-0.3049368257306731,0.9999986474778015,0.0016087595232379616,0.00018942242567290683,-0.0016095764722254978,0.9999933822412981,0.0031642242265852304,-0.00018435379249737317,-0.0031645163388748254,0.9999946195476045
20:42:57:969,-0.29364986162219897,-0.17529458341475623,-0.3847084791441057,0.9999986551613725,0.0015853824306527374,0.0004228369732420898,-0.0015869854575259906,0.9999914611046931,0.003815458944768885,-0.00041678507367541524,-0.003816123449204777,0.9999926299968547
20:42:58:002,-0.21582,-0.15696,0.07847999999999998,0.999999149476196,0.0011064116861418,0.0001332641979819,-0.0011069379825106,0.9999922530723011,0.0037309868122116,-0.0001290739276547,-0.0037313351373182003,0.9999929637004056
20:42:58:036,-0.1769190233665649,-0.0780849033521827,0.21605399359137176,0.9999998794622881,0.00039857892875754805,-0.0002959233368530365,-0.00039751083408543923,0.999993436085107,0.0036015192487749256,0.0002973575974569106,-0.003601398829666238,0.9999934700983439
20:42:58:069,-0.18748813068833353,-0.05926390568586732,0.24508472237198464,0.9999998113928148,0.0001413091799476913,-0.0003968098080775815,-0.00014036638945790349,0.9999950979591702,0.0028640937309285805,0.0003977087527318131,-0.0028641055888252473,0.999995102368085
20:42:58:102,0.01962,0.01962,0.25506,0.999999641734206,-0.0005293665821253999,-0.0006605319686556,0.0005299981759337999,0.9999994022182633,0.0009563812258547,0.000660025297541,-0.0009567309639545999,0.9999993245160064
