timestamp,x-axis (m/s^2),y-axis (m/s^2),z-axis (m/s^2),R00,R01,R02,R10,R11,R12,R20,R21,R22
20:42:57:236,0.5000273440538628,-1.04316647964848,-9.880923377236485,0.9999999915578464,1.600958705352088e-05,-0.00010935918032682337,-1.5996151264229086e-05,0.9999999915903582,8.599810042169262e-05,0.00010936733423024641,-8.599172289274517e-05,0.9999999847899953
20:42:57:269,0.47765773450822385,-1.0074806942233117,-9.935819091362976,0.9999999930673245,-8.464556221415283e-06,9.764194472976609e-05,8.475627194311169e-06,0.9999999903401003,-0.0001280552889026343,-9.764588765088337e-05,0.00012804929241998317,0.9999999873459102
20:42:57:302,0.5014146754067879,-1.0326702442805717,-9.878859914372597,0.9999999634434554,0.00010605413838950409,0.0002482675394796354,-0.00010599143983005033,0.9999999625082067,-0.00024904905960279974,-0.0002482915060619131,0.0002490246875592433,0.9999999361246344
20:42:57:336,0.5050016285536699,-1.0463292663711752,-9.793700626343217,0.9999999665205213,4.8421924558337424e-05,0.00024514977285165047,-4.834113639948563e-05,0.9999999472045628,-0.00032623545358417567,-0.0002451666580215898,0.00032622211177049844,0.9999999166928827
20:42:57:369,0.5088074848689991,-1.0352077582085246,-9.76580820623588,0.9999999860873173,-1.0128245007118616e-05,0.0001782868246603121,1.0161164375497576e-05,0.999999976581252,-0.00019512956081618084,-0.00017828587602884588,0.0001951311702054239,0.9999999628544881
20:42:57:402,0.5093322091390792,-1.0599445284984075,-9.794843934269421,0.9999999918257558,-7.037892570992977e-06,8.98613183824767e-05,7.0406456711216815e-06,1.0000000007198668,-1.1766142186577395e-05,-8.986103487527742e-05,1.1768301442813209e-05,0.9999999930960424
20:42:57:436,0.4996773887993096,-1.0423424849445662,-9.76459296233361,0.9999999982782054,2.8137185281208475e-05,-7.94649057300968e-05,-2.812772210413809e-05,0.9999999890879483,8.866844980472314e-05,7.946609175869801e-05,-8.866763069017283e-05,0.9999999879784919
20:42:57:469,0.496567543528506,-1.0648663904699378,-9.737122047938604,0.9999999863016829,3.444241047240428e-05,-0.00015275061152020817,-3.4402916983303865e-05,0.9999999688359723,0.00025345086611348893,0.0001527597906433712,-0.0002534449869956062,0.9999999568672365
20:42:57:502,0.49181663685219223,-1.0889104230057174,-9.79657160056973,0.9999999827269971,3.742089490541719e-05,-0.0001605115822781444,-3.737684945221071e-05,0.9999999641816505,0.00026301693231274857,0.00016052419559053682,-0.0002630076671419191,0.9999999484153131
20:42:57:536,0.47359856708211473,-1.044043896236035,-9.838145867111098,0.9999999972927202,5.020325773721461e-05,5.730289212063896e-05,-5.020891613193967e-05,0.9999999885380214,0.00012747697370948702,-5.7302034259715976e-05,-0.0001274822560431414,0.9999999892454084
20:42:57:569,0.49153896928833407,-1.0344303090318614,-9.879418618086927,0.9999999831788565,6.346675835646551e-05,0.0001526348614269676,-6.344758979190573e-05,0.9999999887452184,-0.00011519919792592635,-0.00015263444935342848,0.00011519271497993496,0.9999999798702991
20:42:57:602,0.49756948371407617,-1.0230630569902421,-9.8537997526724,0.9999999785117589,-2.5260959576757313e-05,0.00020710640636779204,2.5306303466384466e-05,0.9999999742030867,-0.00022173824116889827,-0.0002071024645853405,0.00022174188194743052,0.9999999533762941
20:42:57:636,0.5150107571945126,-1.042071664641116,-9.801075445468527,0.9999999795882808,3.53898543765389e-05,0.000195417526682975,-3.536180488229538e-05,0.9999999887693166,-0.00013679833529251176,-0.00019542437536878557,0.00013679108145675674,0.9999999702185953
